searched_zipcode,searched_category,searched_lat,searched_lng,Restaurant_Name,restaurant_id,loc_number,City,Address,Postcode,Latitude,Longitude,cuisines,offers,delivery_fee_raw,delivery_fee,delivery_time_raw,delivery_time,service_fee_raw,service_fee,distance,review_count,review_rating,RunDate,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Ruby Murray,1001,38811,London,FirstLine1 Lever Street,EC1V 3QU,51.526493,-0.099433,"Indian,Curry,Halal,Collect stamps,Low De",10% off when you spend £20,,0,30-45,37.5,,0,0.6,2222,5.16,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Naar Lebanese takeaway,1002,162699,London,FirstLine94 Old Street,EC1V 9AY,51.524631,-0.093726,"Lebanese,Grill",,,2.49,25-40,32.5,,0,0.5,11,4.73,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Dhaba Kitchen - Street Food,1003,129948,London,FirstLine73 Wentworth Street,E1 7TD,51.5169355,-0.0746264,"Indian,Grill,Collect stamps,Low Delivery Fee",25% off your order today,,0.99,30-45,37.5,,0,1.1,38,5.45,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,GUGSU,1004,165209,London,FirstLine68 Whitechapel High Street,E1 7PL,51.51591,-0.069685,ChineseNoodlesHalalCollect stamps,25% off your order today,,2.49,15-30,22.5,,0,1.3,31,4.88,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Enso,1005,122029,London,FirstLine94 Brick Lane,E1 6RL,51.519516,-0.071631,JapaneseSushiCollect stampsLow Delivery Fee,40% off your order today,,0.99,40-55,47.5,,0,1.2,298,4.43,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Comptoir Libanais - London Bridge,1006,120246,London,FirstLineTooley Street,SE1 2TF,51.504754,-0.083711,"Middle Eastern,Kebab,Low Delivery Fee",,,0.99,25-40,32.5,,0,1.1,62,4.68,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,LEON - Bankside,1007,143490,London,FirstLine7 Canvey Street,SE1 9AN,51.506482,-0.099539,ChickenHealthyLow Delivery Fee,,,0.99,35-50,42.5,,0,0.8,94,4.33,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Le Pain Quotidien - St Pancras,1008,151820,London,"FirstLineLe Pain Quotidien, St Pancras International Unit 4",N1C 4QL,51.530623,-0.126242,BreakfastSandwichesCollect stampsLow Delivery Fee,,,0.99,25-40,32.5,,0,1.4,6,4.61,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,McDonald's® - London - St Paul's,1009,121494,London,FirstLine1a Ludgate Hill,EC4M 7AA,51.513685,-0.100909,BurgersChickenLow Delivery Fee,,,0.99,40-55,47.5,,0,0.3,371,3.96,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Burger King Kingsway,1010,91788,London,FirstLine117 Kingsway,WC2B 6PP,51.516836,-0.120213,BurgersAmericanLow Delivery Fee,,,0.99,30-45,37.5,,0,0.9,330,3.34,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Angel Kebab,1011,81632,London,FirstLine133 Essex Road,N1 2SN,51.53987,-0.097409,KebabPizzaHalal,,,2,25-40,32.5,,0,1.5,1056,4.71,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,King Rooster - Kings Cross,1012,152612,London,FirstLine127 Kings Cross Road,WC1X 9BJ,51.529587,-0.116076,ChickenPizza,,,2.49,35-50,42.5,,0,1.1,70,4.57,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Lebanese Grill Express,1013,171210,London,FirstLine84 Leather Lane,EC1N 7TT,51.521515,-0.109813,LebaneseMediterranean,,,2,25-40,32.5,,5,0.5,2,4,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,German Doner Kebab - Islington,1014,114111,London,FirstLine11a Islington High Street,N1 9LQ,51.532385,-0.106503,KebabLunchHalalLow Delivery Fee,,,0.99,35-50,42.5,,0,1,1975,4.05,4/25/2022 1:01,
EC1A 7EB,London_Center,51.51808898,-0.09922265,Taco Bell - Holborn,1015,116968,London,FirstLine75 Southampton Row,WC1B 4ET,51.520314,-0.122975,MexicanBurritosLow Delivery Fee,,,0.99,40-55,47.5,,0,1,1149,3.8,4/25/2022 1:01,
